title,slug,short_description,long_description,developer,publisher,release_date,release_type,price_type,featured,trending,new_arrival,official_badge,thumbnail,banner_image,screenshot_1,screenshot_2,screenshot_3,trailer_url,store_url,categories,platforms,tags
Hollow Knight,hollow-knight,A challenging 2D action adventure set in a ruined underground kingdom.,Explore a vast hand drawn world. Battle infected creatures. Unlock movement powers. Discover secrets hidden deep below Dirtmouth.,Team Cherry,Team Cherry,2017-02-24,full release,paid,true,true,false,true,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/367520/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/367520/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/367520/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/367520/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/367520/capsule_616x353.jpg,https://www.youtube.com/watch?v=UAO2urG23S4,https://store.steampowered.com/app/367520/Hollow_Knight/,Action; Adventure; Indie,PC; Nintendo Switch; PlayStation; Xbox,Metroidvania; Difficult; Single Player
Hades,hades,Fight out of the Underworld in a fast paced rogue like dungeon crawler.,Play as Zagreus and battle through ever changing chambers. Build powerful boons. Meet the gods of Olympus and challenge the lord of the dead.,Supergiant Games,Supergiant Games,2020-09-17,full release,paid,true,true,false,true,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1145360/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1145360/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1145360/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1145360/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1145360/capsule_616x353.jpg,https://www.youtube.com/watch?v=91t0ha9x0AE,https://store.steampowered.com/app/1145360/Hades/,Action; Roguelike; Indie,PC; Nintendo Switch; PlayStation; Xbox; iOS,Roguelike; Mythology; Single Player
Celeste,celeste,A precision platformer about climbing a mountain and facing your inner demons.,Help Madeline climb Celeste Mountain through handcrafted platforming challenges. Find hidden strawberries. Learn a moving story about resilience and self discovery.,Extremely OK Games,Maddy Makes Games Inc.,2018-01-25,full release,paid,true,false,false,true,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/504230/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/504230/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/504230/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/504230/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/504230/capsule_616x353.jpg,https://www.youtube.com/watch?v=FqBj2IGg6Uw,https://store.steampowered.com/app/504230/Celeste/,Platformer; Adventure; Indie,PC; Nintendo Switch; PlayStation; Xbox,Precision Platformer; Story Rich; Single Player
Dead Cells,dead-cells,A roguevania action platformer with brutal combat and constant experimentation.,Fight through a changing castle in fast 2D combat. Mix weapons and abilities. Learn from every death and push deeper on each run.,Motion Twin,Motion Twin,2018-08-06,full release,paid,true,true,false,true,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/588650/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/588650/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/588650/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/588650/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/588650/capsule_616x353.jpg,https://www.youtube.com/watch?v=RvGaSPTcTxc,https://store.steampowered.com/app/588650/Dead_Cells/,Action; Platformer; Indie,PC; Nintendo Switch; PlayStation; Xbox; iOS; Android,Roguelite; Metroidvania; Soulslike
Stardew Valley,stardew-valley,Build a farm and a new life in a beloved country life RPG.,Restore your grandfather's farm. Grow crops. Raise animals. Befriend Pelican Town. Explore mines and relax in a cozy world at your own pace.,ConcernedApe,ConcernedApe,2016-02-26,full release,paid,true,true,false,true,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/413150/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/413150/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/413150/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/413150/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/413150/capsule_616x353.jpg,https://www.youtube.com/watch?v=ot7uXNQskhs,https://store.steampowered.com/app/413150/Stardew_Valley/,Simulation; RPG; Indie,PC; Nintendo Switch; PlayStation; Xbox; iOS; Android,Farming; Cozy; Pixel Art
Terraria,terraria,Dig fight build and explore in a giant sandbox adventure.,Shape the world around you. Craft gear. Fight bosses. Build bases. Terraria blends exploration survival and combat in a massive 2D sandbox.,Re-Logic,Re-Logic,2011-05-16,full release,paid,false,true,false,true,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/105600/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/105600/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/105600/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/105600/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/105600/capsule_616x353.jpg,https://www.youtube.com/watch?v=UGo7iMUcxLc,https://store.steampowered.com/app/105600/Terraria/,Action; Adventure; Sandbox,PC; Nintendo Switch; PlayStation; Xbox; iOS; Android,Sandbox; Crafting; Co-op
Slay the Spire,slay-the-spire,A deckbuilding roguelike where every climb creates a new strategy.,Build a unique deck. Collect relics. Discover powerful combos. Slay the Spire mixes card game strategy with roguelike progression.,Mega Crit,Mega Crit,2019-01-23,full release,paid,false,true,false,true,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/646570/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/646570/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/646570/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/646570/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/646570/capsule_616x353.jpg,https://www.youtube.com/watch?v=9SZUtyYSOjQ,https://store.steampowered.com/app/646570/Slay_the_Spire/,Strategy; Card Game; Indie,PC; Nintendo Switch; PlayStation; Xbox; iOS; Android,Deckbuilder; Roguelike; Turn Based
Cuphead,cuphead,A classic run and gun action game inspired by 1930s animation.,Take on inventive boss battles in a beautiful hand inked world. Play solo or co-op and master precise shooting and dodging.,Studio MDHR,Studio MDHR,2017-09-29,full release,paid,false,true,false,true,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/268910/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/268910/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/268910/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/268910/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/268910/capsule_616x353.jpg,https://www.youtube.com/watch?v=NN-9SQXoi50,https://store.steampowered.com/app/268910/Cuphead/,Action; Platformer; Indie,PC; Nintendo Switch; PlayStation; Xbox,Boss Rush; Co-op; Hand Drawn
Undertale,undertale,A memorable RPG where choices and mercy matter.,Fall into the Underground and meet a cast of strange monsters. Fight or spare enemies. Shape the story with every decision you make.,tobyfox,tobyfox,2015-09-15,full release,paid,false,false,false,true,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/391540/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/391540/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/391540/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/391540/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/391540/capsule_616x353.jpg,https://www.youtube.com/watch?v=1Hojv0m3TqA,https://store.steampowered.com/app/391540/Undertale/,RPG; Adventure; Indie,PC; Nintendo Switch; PlayStation; Xbox,Story Rich; Pixel Art; Choices Matter
Risk of Rain 2,risk-of-rain-2,Survive an alien planet in a chaotic co-op roguelike shooter.,Fight through swarms of enemies. Stack items into wild builds. Play solo or with friends and escape a hostile world.,Hopoo Games,Gearbox Publishing,2020-08-11,full release,paid,false,true,false,true,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/632360/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/632360/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/632360/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/632360/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/632360/capsule_616x353.jpg,https://www.youtube.com/watch?v=Qwgq_9EOCTg,https://store.steampowered.com/app/632360/Risk_of_Rain_2/,Action; Shooter; Roguelike,PC; Nintendo Switch; PlayStation; Xbox,Co-op; Third Person; Loot
